8489,2002,80.0,35.04,16.77,31.0
8287,2012,20.0,16.6,3.29,16.0
8505,2014,73.0,33.53,9.23,34.0
8511,2007,45.0,30.29,7.71,29.0
8513,2009,83.0,26.8,8.69,26.0
8514,2008,45.0,25.28,5.53,25.0
8522,2018,12.0,11.0,0.71,11.0
8529,2002,60.0,34.75,16.84,26.5
8536,2001,66.0,39.37,14.72,43.0
8546,2001,33.0,16.0,4.72,16.0
8554,2013,21.0,13.74,2.39,14.0
8558,2003,71.0,41.29,12.71,41.0
8560,2001,38.0,23.0,8.32,22.0
8563,2011,49.0,25.26,8.5,26.0
8572,2003,26.0,18.67,6.43,16.0
8577,2016,18.0,11.17,3.63,11.0
8586,2016,73.0,41.88,12.23,43.0
8356,2017,42.0,20.38,9.07,17.0
8596,2008,82.0,47.19,15.65,50.0
8597,2012,50.0,41.5,6.19,40.0
8611,2011,54.0,32.0,11.0,33.0
8613,2003,41.0,30.75,9.5,31.0
8623,2006,49.0,46.5,3.54,46.5
8624,2006,76.0,34.88,17.03,34.0
